Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,177.000000,177.000000,171.949997,173.850006,169.811172,41785992
2023-06-01,173.600006,174.699997,171.850006,174.399994,170.348373,11602551
2023-06-02,175.899994,175.899994,173.399994,174.550003,170.494904,7262018
2023-06-05,175.800003,176.199997,173.550003,174.100006,170.055359,12239684
2023-06-06,174.500000,175.750000,173.550003,175.399994,171.325150,4889564
2023-06-07,175.949997,178.000000,175.399994,177.350006,173.229858,6270083
2023-06-08,178.750000,184.350006,178.100006,182.050003,177.820663,27382635
2023-06-09,184.000000,184.250000,180.550003,182.800003,178.553238,10235269
2023-06-12,182.800003,186.449997,182.649994,185.699997,181.385864,17450400
2023-06-13,186.000000,186.649994,185.000000,185.350006,181.044006,8332566
2023-06-14,185.350006,188.399994,185.350006,187.199997,182.851013,15061573
2023-06-15,187.000000,187.300003,185.350006,186.699997,182.362640,9840499
2023-06-16,186.899994,188.699997,186.050003,188.199997,183.827774,8562558
2023-06-19,188.199997,188.199997,185.199997,185.850006,181.532379,5363723
2023-06-20,186.000000,188.000000,184.550003,187.500000,183.144043,6035600
2023-06-21,187.500000,188.699997,186.500000,187.500000,183.144043,5906854
2023-06-22,187.500000,187.949997,183.350006,184.500000,180.213760,6683123
2023-06-23,184.550003,187.500000,183.750000,186.699997,182.362640,15255365
2023-06-26,187.399994,187.399994,184.449997,184.899994,180.604446,7231775
2023-06-27,184.899994,186.949997,184.800003,186.050003,181.727737,6787438
2023-06-28,186.050003,186.050003,186.050003,186.050003,181.727737,0
2023-06-30,188.100006,191.649994,188.000000,189.149994,184.755707,9579059
2023-07-03,190.000000,192.600006,188.699997,191.250000,186.806931,7352149
2023-07-04,191.100006,194.800003,189.000000,194.050003,189.541885,13258826
2023-07-05,194.000000,194.750000,192.350006,193.399994,188.906982,6558910
2023-07-06,193.500000,197.149994,192.750000,196.750000,192.179153,16276609
2023-07-07,196.750000,197.750000,192.149994,192.600006,188.125565,12652336
2023-07-10,192.649994,193.350006,189.800003,191.550003,187.099976,10238356
2023-07-11,192.649994,192.949997,190.800003,192.399994,187.930206,11236383
2023-07-12,193.750000,194.750000,190.250000,190.800003,186.367401,9191559
2023-07-13,191.800003,191.800003,186.949997,187.899994,183.534744,10612659
2023-07-14,187.949997,188.350006,184.750000,187.449997,183.095200,12369394
2023-07-17,188.449997,188.949997,185.800003,186.500000,182.167282,9058800
2023-07-18,187.000000,189.149994,186.300003,187.350006,182.997543,7177677
2023-07-19,191.000000,196.600006,190.199997,192.550003,188.076736,31761232
2023-07-20,192.699997,194.250000,191.850006,192.899994,188.418594,8936996
2023-07-21,192.800003,196.350006,192.100006,195.100006,190.567490,11031250
2023-07-24,195.500000,197.000000,192.949997,195.899994,191.348892,9981788
2023-07-25,196.500000,201.350006,195.899994,200.649994,195.988556,18028061
2023-07-26,201.500000,202.149994,200.000000,201.600006,196.916489,13857423
2023-07-27,201.750000,203.000000,200.600006,201.949997,197.258347,16013422
2023-07-28,201.850006,210.449997,199.500000,210.000000,205.121338,39630520
2023-07-31,212.199997,218.949997,209.649994,218.350006,213.277359,43494779
2023-08-01,219.550003,226.649994,218.850006,225.149994,219.919373,63510580
2023-08-02,225.050003,225.149994,216.850006,219.100006,214.009933,22647784
2023-08-03,219.100006,223.600006,217.949997,220.100006,214.986694,29868065
2023-08-04,221.699997,222.199997,217.600006,217.949997,212.886642,12879897
2023-08-07,219.699997,221.350006,217.649994,217.949997,212.886642,12929354
2023-08-08,220.300003,220.399994,214.000000,217.550003,212.495941,15314866
2023-08-09,218.449997,219.699997,216.449997,218.699997,213.619217,12554174
2023-08-10,219.199997,220.850006,216.500000,217.399994,212.349426,10970619
2023-08-11,214.899994,216.500000,212.649994,213.000000,210.962814,7970536
2023-08-14,213.300003,214.000000,211.800003,213.000000,210.962814,9283695
2023-08-16,212.949997,217.949997,212.050003,217.449997,215.370239,9687712
2023-08-17,219.449997,219.800003,215.149994,215.750000,213.686508,11865239
2023-08-18,215.800003,216.649994,213.300003,215.149994,213.092239,14101163
2023-08-21,217.199997,219.550003,215.699997,218.800003,216.707336,13336739
2023-08-22,219.250000,222.300003,218.850006,221.699997,219.579590,16930149
2023-08-23,222.899994,222.899994,221.050003,221.699997,219.579590,13507905
2023-08-24,222.000000,222.399994,219.649994,220.850006,218.737732,11182959
2023-08-25,221.850006,221.850006,217.199997,217.899994,215.815933,7413549
2023-08-28,217.899994,219.300003,217.199997,218.699997,216.608292,4851793
2023-08-29,219.199997,221.750000,218.250000,221.100006,218.985336,8799235
2023-08-30,222.000000,222.000000,219.750000,220.399994,218.292023,5490930
2023-08-31,221.649994,221.649994,218.750000,220.300003,218.192993,18532999
2023-09-01,217.850006,231.649994,216.149994,230.699997,228.493515,29859815
2023-09-04,233.699997,236.500000,230.500000,235.800003,233.544739,21895573
2023-09-05,236.899994,236.899994,231.699997,234.600006,232.356232,13952922
2023-09-06,235.500000,235.850006,228.399994,231.899994,229.682037,14623019
2023-09-07,233.000000,238.000000,229.350006,234.100006,231.861008,30334731
2023-09-08,236.000000,243.600006,235.000000,240.250000,237.952179,28856420
2023-09-11,243.600006,243.899994,238.149994,243.100006,240.774933,22493483
2023-09-12,244.199997,244.949997,234.100006,235.100006,232.851440,21174310
2023-09-13,236.100006,238.449997,233.149994,237.149994,234.881821,9151928
2023-09-14,237.949997,239.199997,235.949997,237.949997,235.674179,7568464
2023-09-15,235.600006,239.300003,235.600006,236.199997,233.940918,14098284
2023-09-18,237.000000,242.149994,236.050003,241.199997,238.893097,11163399
2023-09-20,241.500000,246.000000,240.350006,241.750000,239.437836,18936709
2023-09-21,240.050003,242.899994,237.100006,238.949997,236.664612,10134737
2023-09-22,238.600006,239.300003,236.000000,237.949997,235.674179,7209300
2023-09-25,239.149994,240.250000,237.149994,239.649994,237.357910,8027642
2023-09-26,239.750000,243.199997,239.050003,240.199997,237.902664,10681642
2023-09-27,239.899994,240.500000,237.850006,239.300003,237.011276,9679279
2023-09-28,239.600006,241.199997,235.649994,237.050003,234.782791,32887087
2023-09-29,239.550003,251.500000,239.500000,245.550003,243.201492,35038887
2023-10-03,244.350006,246.699997,240.550003,241.199997,238.893097,14885044
2023-10-04,241.000000,241.000000,231.500000,235.149994,232.900955,25424437
2023-10-05,237.250000,237.399994,232.050003,233.850006,231.613403,22472389
2023-10-06,234.250000,237.500000,233.649994,235.550003,233.297134,8825123
2023-10-09,233.850006,236.300003,230.500000,234.699997,232.455261,10659145
2023-10-10,234.899994,236.850006,233.750000,235.899994,233.643784,11665907
2023-10-11,236.250000,239.699997,236.000000,238.699997,236.417007,14313043
2023-10-12,238.949997,242.750000,238.600006,241.600006,239.289276,13170027
2023-10-13,240.550003,243.800003,239.600006,242.050003,239.734970,11880728
2023-10-16,242.850006,245.000000,241.000000,243.449997,241.121567,6936948
2023-10-17,244.850006,247.199997,243.300003,245.949997,243.597656,10084205
2023-10-18,245.899994,246.800003,241.600006,242.000000,239.685440,6987265
2023-10-19,240.199997,241.800003,238.500000,239.500000,237.209351,11485237
2023-10-20,238.949997,242.149994,237.550003,241.000000,238.695007,9040953
2023-10-23,240.800003,240.899994,235.000000,236.550003,234.287567,7058625
2023-10-25,236.000000,236.300003,228.350006,232.050003,229.830612,23949207
2023-10-26,230.850006,233.300003,227.750000,231.649994,229.434433,17410264
2023-10-27,232.000000,238.449997,232.000000,236.600006,234.337097,10519462
2023-10-30,237.449997,238.399994,230.649994,234.600006,232.356232,8812268
2023-10-31,234.500000,237.199997,233.550003,235.800003,233.544739,6583581
2023-11-01,236.699997,236.699997,232.100006,232.600006,230.375351,6718059
2023-11-02,234.199997,235.699997,233.750000,235.250000,233.000000,6057787
2023-11-03,233.300003,235.250000,233.300003,234.350006,234.350006,6825146
2023-11-06,235.350006,237.199997,234.550003,235.850006,235.850006,5338605
2023-11-07,236.300003,239.550003,235.199997,239.149994,239.149994,7002346
2023-11-08,239.850006,240.899994,235.949997,236.699997,236.699997,9777991
2023-11-09,237.199997,239.699997,236.000000,237.949997,237.949997,13987058
2023-11-10,237.850006,243.250000,235.800003,242.750000,242.750000,9589671
2023-11-13,244.949997,250.600006,243.300003,245.699997,245.699997,18792969
2023-11-15,248.949997,248.949997,245.949997,247.300003,247.300003,10965645
2023-11-16,248.800003,254.250000,247.649994,252.350006,252.350006,22145147
2023-11-17,253.000000,253.100006,251.000000,251.600006,251.600006,5618928
2023-11-20,251.000000,255.399994,250.300003,251.050003,251.050003,6283832
2023-11-21,252.600006,252.800003,247.300003,250.000000,250.000000,6851869
2023-11-22,250.800003,254.000000,249.350006,253.649994,253.649994,5273684
